#miRNA	read_count	precursor	total	seq	seq(norm)
hsa-miR-181b-2-3p	0.00	hsa-mir-181b-2	0.00	0	0
hsa-miR-181c-3p	0.00	hsa-mir-181c	0.00	0	0
hsa-miR-181c-5p	2.00	hsa-mir-181c	2.00	2.00	65.27
hsa-miR-181d-3p	0.00	hsa-mir-181d	0.00	0	0
hsa-miR-181d-5p	0.00	hsa-mir-181d	0.00	0	0
hsa-miR-182-3p	0.00	hsa-mir-182	0.00	0	0
hsa-miR-182-5p	3.00	hsa-mir-182	3.00	3.00	97.90
hsa-miR-1825	0.00	hsa-mir-1825	0.00	0	0
hsa-miR-1827	0.00	hsa-mir-1827	0.00	0	0
hsa-miR-183-3p	0.00	hsa-mir-183	0.00	0	0
hsa-miR-183-5p	3.00	hsa-mir-183	3.00	3.00	97.90
hsa-miR-184	0.00	hsa-mir-184	0.00	0	0
hsa-miR-1843	0.00	hsa-mir-1843	0.00	0	0
hsa-miR-185-5p	2.00	hsa-mir-185	2.00	2.00	65.27
hsa-miR-185-3p	0.00	hsa-mir-185	0.00	0	0
hsa-miR-186-5p	29.00	hsa-mir-186	29.00	29.00	946.38
hsa-miR-186-3p	0.00	hsa-mir-186	0.00	0	0
hsa-miR-187-3p	0.00	hsa-mir-187	0.00	0	0
hsa-miR-187-5p	0.00	hsa-mir-187	0.00	0	0
hsa-miR-188-5p	0.00	hsa-mir-188	0.00	0	0
hsa-miR-188-3p	0.00	hsa-mir-188	0.00	0	0
hsa-miR-18a-5p	1.00	hsa-mir-18a	1.00	1.00	32.63
hsa-miR-18a-3p	0.00	hsa-mir-18a	0.00	0	0
hsa-miR-18b-5p	1.00	hsa-mir-18b	1.00	1.00	32.63
hsa-miR-18b-3p	0.00	hsa-mir-18b	0.00	0	0
hsa-miR-1908-5p	0.00	hsa-mir-1908	0.00	0	0
hsa-miR-1908-3p	0.00	hsa-mir-1908	0.00	0	0
hsa-miR-1909-3p	0.00	hsa-mir-1909	0.00	0	0
hsa-miR-1909-5p	0.00	hsa-mir-1909	0.00	0	0
hsa-miR-190a-5p	2.00	hsa-mir-190a	2.00	2.00	65.27
hsa-miR-190a-3p	0.00	hsa-mir-190a	0.00	0	0
hsa-miR-190b-3p	0.00	hsa-mir-190b	0.00	0	0
hsa-miR-190b-5p	0.00	hsa-mir-190b	0.00	0	0
hsa-miR-191-3p	0.00	hsa-mir-191	0.00	0	0
hsa-miR-191-5p	41.00	hsa-mir-191	41.00	41.00	1337.99
hsa-miR-1910-3p	0.00	hsa-mir-1910	0.00	0	0
hsa-miR-1910-5p	0.00	hsa-mir-1910	0.00	0	0
hsa-miR-1911-5p	0.00	hsa-mir-1911	0.00	0	0
hsa-miR-1911-3p	0.00	hsa-mir-1911	0.00	0	0
hsa-miR-1912-3p	0.00	hsa-mir-1912	0.00	0	0
hsa-miR-1912-5p	0.00	hsa-mir-1912	0.00	0	0
hsa-miR-1913	0.00	hsa-mir-1913	0.00	0	0
hsa-miR-1914-5p	0.00	hsa-mir-1914	0.00	0	0
hsa-miR-1914-3p	0.00	hsa-mir-1914	0.00	0	0
hsa-miR-1915-3p	0.00	hsa-mir-1915	0.00	0	0
hsa-miR-1915-5p	0.00	hsa-mir-1915	0.00	0	0
hsa-miR-192-3p	0.00	hsa-mir-192	0.00	0	0
hsa-miR-192-5p	1794.00	hsa-mir-192	1794.00	1794.00	58545.18
hsa-miR-193a-3p	0.00	hsa-mir-193a	0.00	0	0
hsa-miR-193a-5p	0.00	hsa-mir-193a	0.00	0	0
hsa-miR-193b-3p	2.00	hsa-mir-193b	2.00	2.00	65.27
hsa-miR-193b-5p	0.00	hsa-mir-193b	0.00	0	0
hsa-miR-194-5p	328.00	hsa-mir-194-1	328.00	328.00	10703.91
hsa-miR-194-3p	0.00	hsa-mir-194-2	0.00	0	0
hsa-miR-194-5p	346.00	hsa-mir-194-2	346.00	346.00	11291.32
hsa-miR-195-3p	0.00	hsa-mir-195	0.00	0	0
hsa-miR-195-5p	14.00	hsa-mir-195	14.00	14.00	456.87
hsa-miR-196a-1-3p	0.00	hsa-mir-196a-1	0.00	0	0
hsa-miR-196a-5p	1.00	hsa-mir-196a-1	1.00	1.00	32.63
hsa-miR-196a-3p	0.00	hsa-mir-196a-2	0.00	0	0
hsa-miR-196a-5p	1.00	hsa-mir-196a-2	1.00	1.00	32.63
hsa-miR-196b-5p	4.00	hsa-mir-196b	4.00	4.00	130.54
hsa-miR-196b-3p	0.00	hsa-mir-196b	0.00	0	0
hsa-miR-197-5p	0.00	hsa-mir-197	0.00	0	0
hsa-miR-197-3p	1.00	hsa-mir-197	1.00	1.00	32.63
hsa-miR-1972	0.00	hsa-mir-1972-1	0.00	0	0
hsa-miR-1972	0.00	hsa-mir-1972-2	0.00	0	0
hsa-miR-1973	0.00	hsa-mir-1973	0.00	0	0
hsa-miR-1976	0.00	hsa-mir-1976	0.00	0	0
hsa-miR-198	0.00	hsa-mir-198	0.00	0	0
hsa-miR-199a-3p	112.00	hsa-mir-199a-1	112.00	112.00	3654.99
hsa-miR-199a-5p	58.00	hsa-mir-199a-1	58.00	58.00	1892.77
hsa-miR-199a-3p	112.00	hsa-mir-199a-2	112.00	112.00	3654.99
hsa-miR-199a-5p	58.00	hsa-mir-199a-2	58.00	58.00	1892.77
hsa-miR-199b-5p	70.00	hsa-mir-199b	70.00	70.00	2284.37
hsa-miR-199b-3p	112.00	hsa-mir-199b	112.00	112.00	3654.99
hsa-miR-19a-3p	0.00	hsa-mir-19a	0.00	0	0
hsa-miR-19a-5p	0.00	hsa-mir-19a	0.00	0	0
hsa-miR-19b-1-5p	0.00	hsa-mir-19b-1	0.00	0	0
hsa-miR-19b-3p	6.00	hsa-mir-19b-1	6.00	6.00	195.80
hsa-miR-19b-2-5p	0.00	hsa-mir-19b-2	0.00	0	0
hsa-miR-19b-3p	6.00	hsa-mir-19b-2	6.00	6.00	195.80
hsa-miR-200a-3p	274.00	hsa-mir-200a	274.00	274.00	8941.68
hsa-miR-200a-5p	19.00	hsa-mir-200a	19.00	19.00	620.04
hsa-miR-200b-3p	235.00	hsa-mir-200b	235.00	235.00	7668.96
hsa-miR-200b-5p	0.00	hsa-mir-200b	0.00	0	0
hsa-miR-200c-3p	106.00	hsa-mir-200c	106.00	106.00	3459.19
hsa-miR-200c-5p	0.00	hsa-mir-200c	0.00	0	0
hsa-miR-202-3p	0.00	hsa-mir-202	0.00	0	0
hsa-miR-202-5p	0.00	hsa-mir-202	0.00	0	0
hsa-miR-203a-5p	0.00	hsa-mir-203a	0.00	0	0
hsa-miR-203a-3p	24.00	hsa-mir-203a	24.00	24.00	783.21
hsa-miR-203b-5p	0.00	hsa-mir-203b	0.00	0	0
hsa-miR-203b-3p	0.00	hsa-mir-203b	0.00	0	0
hsa-miR-204-5p	0.00	hsa-mir-204	0.00	0	0
hsa-miR-204-3p	0.00	hsa-mir-204	0.00	0	0
hsa-miR-205-3p	0.00	hsa-mir-205	0.00	0	0
hsa-miR-205-5p	0.00	hsa-mir-205	0.00	0	0
hsa-miR-2052	0.00	hsa-mir-2052	0.00	0	0
hsa-miR-2053	0.00	hsa-mir-2053	0.00	0	0
hsa-miR-2054	0.00	hsa-mir-2054	0.00	0	0
hsa-miR-206	2.00	hsa-mir-206	2.00	2.00	65.27
hsa-miR-208a-5p	0.00	hsa-mir-208a	0.00	0	0
hsa-miR-208a-3p	0.00	hsa-mir-208a	0.00	0	0
hsa-miR-208b-5p	0.00	hsa-mir-208b	0.00	0	0
hsa-miR-208b-3p	0.00	hsa-mir-208b	0.00	0	0
hsa-miR-20a-3p	0.00	hsa-mir-20a	0.00	0	0
hsa-miR-20a-5p	26.00	hsa-mir-20a	26.00	26.00	848.48
hsa-miR-20b-5p	2.00	hsa-mir-20b	2.00	2.00	65.27
hsa-miR-20b-3p	0.00	hsa-mir-20b	0.00	0	0
hsa-miR-21-5p	775.00	hsa-mir-21	775.00	775.00	25291.26
hsa-miR-21-3p	5.00	hsa-mir-21	5.00	5.00	163.17
hsa-miR-210-3p	4.00	hsa-mir-210	4.00	4.00	130.54
hsa-miR-210-5p	0.00	hsa-mir-210	0.00	0	0
hsa-miR-211-3p	0.00	hsa-mir-211	0.00	0	0
hsa-miR-211-5p	0.00	hsa-mir-211	0.00	0	0
hsa-miR-2110	0.00	hsa-mir-2110	0.00	0	0
hsa-miR-2113	0.00	hsa-mir-2113	0.00	0	0
hsa-miR-2114-5p	0.00	hsa-mir-2114	0.00	0	0
hsa-miR-2114-3p	0.00	hsa-mir-2114	0.00	0	0
hsa-miR-2115-3p	0.00	hsa-mir-2115	0.00	0	0
hsa-miR-2115-5p	0.00	hsa-mir-2115	0.00	0	0
hsa-miR-2116-5p	0.00	hsa-mir-2116	0.00	0	0
hsa-miR-2116-3p	0.00	hsa-mir-2116	0.00	0	0
hsa-miR-2117	0.00	hsa-mir-2117	0.00	0	0
hsa-miR-212-3p	0.00	hsa-mir-212	0.00	0	0
hsa-miR-212-5p	0.00	hsa-mir-212	0.00	0	0
hsa-miR-214-5p	2.00	hsa-mir-214	2.00	2.00	65.27
hsa-miR-214-3p	3.00	hsa-mir-214	3.00	3.00	97.90
hsa-miR-215-3p	1.00	hsa-mir-215	1.00	1.00	32.63
hsa-miR-215-5p	186.00	hsa-mir-215	186.00	186.00	6069.90
hsa-miR-216a-5p	0.00	hsa-mir-216a	0.00	0	0
hsa-miR-216a-3p	0.00	hsa-mir-216a	0.00	0	0
hsa-miR-216b-3p	0.00	hsa-mir-216b	0.00	0	0
hsa-miR-216b-5p	0.00	hsa-mir-216b	0.00	0	0
hsa-miR-217-3p	0.00	hsa-mir-217	0.00	0	0
hsa-miR-217-5p	0.00	hsa-mir-217	0.00	0	0
hsa-miR-218-5p	17.00	hsa-mir-218-1	17.00	17.00	554.78
hsa-miR-218-1-3p	0.00	hsa-mir-218-1	0.00	0	0
hsa-miR-218-5p	17.00	hsa-mir-218-2	17.00	17.00	554.78
hsa-miR-218-2-3p	0.00	hsa-mir-218-2	0.00	0	0
hsa-miR-219a-5p	0.00	hsa-mir-219a-1	0.00	0	0
hsa-miR-219a-1-3p	0.00	hsa-mir-219a-1	0.00	0	0
hsa-miR-219a-2-3p	0.00	hsa-mir-219a-2	0.00	0	0
hsa-miR-219a-5p	0.00	hsa-mir-219a-2	0.00	0	0
hsa-miR-219b-5p	0.00	hsa-mir-219b	0.00	0	0
hsa-miR-219b-3p	0.00	hsa-mir-219b	0.00	0	0
hsa-miR-22-3p	42.00	hsa-mir-22	42.00	42.00	1370.62
hsa-miR-22-5p	1.00	hsa-mir-22	1.00	1.00	32.63
hsa-miR-221-3p	13.00	hsa-mir-221	13.00	13.00	424.24
hsa-miR-221-5p	2.00	hsa-mir-221	2.00	2.00	65.27
hsa-miR-222-5p	0.00	hsa-mir-222	0.00	0	0
hsa-miR-222-3p	3.00	hsa-mir-222	3.00	3.00	97.90
hsa-miR-223-3p	3.00	hsa-mir-223	3.00	3.00	97.90
hsa-miR-223-5p	1.00	hsa-mir-223	1.00	1.00	32.63
hsa-miR-224-5p	2.00	hsa-mir-224	2.00	2.00	65.27
hsa-miR-224-3p	0.00	hsa-mir-224	0.00	0	0
hsa-miR-2276-3p	0.00	hsa-mir-2276	0.00	0	0
hsa-miR-2276-5p	0.00	hsa-mir-2276	0.00	0	0
hsa-miR-2277-3p	0.00	hsa-mir-2277	0.00	0	0
hsa-miR-2277-5p	0.00	hsa-mir-2277	0.00	0	0
hsa-miR-2278	0.00	hsa-mir-2278	0.00	0	0
hsa-miR-2355-5p	0.00	hsa-mir-2355	0.00	0	0
hsa-miR-2355-3p	0.00	hsa-mir-2355	0.00	0	0
hsa-miR-2392	0.00	hsa-mir-2392	0.00	0	0
hsa-miR-23a-3p	43.00	hsa-mir-23a	43.00	43.00	1403.26
hsa-miR-23a-5p	0.00	hsa-mir-23a	0.00	0	0
hsa-miR-23b-3p	56.00	hsa-mir-23b	56.00	56.00	1827.50
hsa-miR-23b-5p	0.00	hsa-mir-23b	0.00	0	0
hsa-miR-23c	0.00	hsa-mir-23c	0.00	0	0
hsa-miR-24-1-5p	2.00	hsa-mir-24-1	2.00	2.00	65.27
hsa-miR-24-3p	54.00	hsa-mir-24-1	54.00	54.00	1762.23
hsa-miR-24-3p	53.00	hsa-mir-24-2	53.00	53.00	1729.60
hsa-miR-24-2-5p	0.00	hsa-mir-24-2	0.00	0	0
hsa-miR-2467-5p	0.00	hsa-mir-2467	0.00	0	0
hsa-miR-2467-3p	0.00	hsa-mir-2467	0.00	0	0
hsa-miR-25-5p	0.00	hsa-mir-25	0.00	0	0
hsa-miR-25-3p	14.00	hsa-mir-25	14.00	14.00	456.87
hsa-miR-2681-5p	0.00	hsa-mir-2681	0.00	0	0
hsa-miR-2681-3p	0.00	hsa-mir-2681	0.00	0	0
hsa-miR-2682-3p	0.00	hsa-mir-2682	0.00	0	0
hsa-miR-2682-5p	0.00	hsa-mir-2682	0.00	0	0
hsa-miR-26a-5p	2222.00	hsa-mir-26a-1	2222.00	2222.00	72512.48
hsa-miR-26a-1-3p	0.00	hsa-mir-26a-1	0.00	0	0
hsa-miR-26a-5p	2223.00	hsa-mir-26a-2	2223.00	2223.00	72545.12
hsa-miR-26a-2-3p	1.00	hsa-mir-26a-2	1.00	1.00	32.63
hsa-miR-26b-5p	483.00	hsa-mir-26b	483.00	483.00	15762.16
hsa-miR-26b-3p	0.00	hsa-mir-26b	0.00	0	0
hsa-miR-27a-5p	0.00	hsa-mir-27a	0.00	0	0
hsa-miR-27a-3p	72.00	hsa-mir-27a	72.00	72.00	2349.64
hsa-miR-27b-5p	0.00	hsa-mir-27b	0.00	0	0
hsa-miR-27b-3p	303.00	hsa-mir-27b	303.00	303.00	9888.07
hsa-miR-28-3p	43.00	hsa-mir-28	43.00	43.00	1403.26
hsa-miR-28-5p	8.00	hsa-mir-28	8.00	8.00	261.07
hsa-miR-2861	0.00	hsa-mir-2861	0.00	0	0
hsa-miR-2909	0.00	hsa-mir-2909	0.00	0	0
hsa-miR-296-5p	0.00	hsa-mir-296	0.00	0	0
hsa-miR-296-3p	0.00	hsa-mir-296	0.00	0	0
hsa-miR-297	0.00	hsa-mir-297	0.00	0	0
hsa-miR-298	0.00	hsa-mir-298	0.00	0	0
hsa-miR-299-5p	0.00	hsa-mir-299	0.00	0	0
hsa-miR-299-3p	0.00	hsa-mir-299	0.00	0	0
hsa-miR-29a-5p	0.00	hsa-mir-29a	0.00	0	0
hsa-miR-29a-3p	72.00	hsa-mir-29a	72.00	72.00	2349.64
hsa-miR-29b-1-5p	0.00	hsa-mir-29b-1	0.00	0	0
hsa-miR-29b-3p	17.00	hsa-mir-29b-1	17.00	17.00	554.78
hsa-miR-29b-2-5p	0.00	hsa-mir-29b-2	0.00	0	0
hsa-miR-29b-3p	17.00	hsa-mir-29b-2	17.00	17.00	554.78
hsa-miR-29c-3p	5.00	hsa-mir-29c	5.00	5.00	163.17
hsa-miR-29c-5p	3.00	hsa-mir-29c	3.00	3.00	97.90
hsa-miR-300	0.00	hsa-mir-300	0.00	0	0
hsa-miR-301a-5p	0.00	hsa-mir-301a	0.00	0	0
hsa-miR-301a-3p	0.00	hsa-mir-301a	0.00	0	0
hsa-miR-301b-5p	0.00	hsa-mir-301b	0.00	0	0
hsa-miR-301b-3p	0.00	hsa-mir-301b	0.00	0	0
hsa-miR-302a-3p	0.00	hsa-mir-302a	0.00	0	0
hsa-miR-302a-5p	0.00	hsa-mir-302a	0.00	0	0
hsa-miR-302b-5p	0.00	hsa-mir-302b	0.00	0	0
hsa-miR-302b-3p	0.00	hsa-mir-302b	0.00	0	0
hsa-miR-302c-5p	0.00	hsa-mir-302c	0.00	0	0
hsa-miR-302c-3p	0.00	hsa-mir-302c	0.00	0	0
hsa-miR-302d-3p	0.00	hsa-mir-302d	0.00	0	0
hsa-miR-302d-5p	0.00	hsa-mir-302d	0.00	0	0
hsa-miR-302e	0.00	hsa-mir-302e	0.00	0	0
hsa-miR-302f	0.00	hsa-mir-302f	0.00	0	0
hsa-miR-3059-5p	0.00	hsa-mir-3059	0.00	0	0
hsa-miR-3059-3p	0.00	hsa-mir-3059	0.00	0	0
hsa-miR-3064-5p	0.00	hsa-mir-3064	0.00	0	0
hsa-miR-3064-3p	0.00	hsa-mir-3064	0.00	0	0
hsa-miR-3065-3p	0.00	hsa-mir-3065	0.00	0	0
hsa-miR-3065-5p	0.00	hsa-mir-3065	0.00	0	0
hsa-miR-3074-5p	0.00	hsa-mir-3074	0.00	0	0
hsa-miR-3074-3p	0.00	hsa-mir-3074	0.00	0	0
hsa-miR-3085-3p	0.00	hsa-mir-3085	0.00	0	0
hsa-miR-3085-5p	0.00	hsa-mir-3085	0.00	0	0
hsa-miR-30a-5p	102.00	hsa-mir-30a	102.00	102.00	3328.66
hsa-miR-30a-3p	2.00	hsa-mir-30a	2.00	2.00	65.27
hsa-miR-30b-5p	64.00	hsa-mir-30b	64.00	64.00	2088.57
hsa-miR-30b-3p	0.00	hsa-mir-30b	0.00	0	0
hsa-miR-30c-5p	28.00	hsa-mir-30c-1	28.00	28.00	913.75
hsa-miR-30c-1-3p	1.00	hsa-mir-30c-1	1.00	1.00	32.63
hsa-miR-30c-2-3p	0.00	hsa-mir-30c-2	0.00	0	0
hsa-miR-30c-5p	28.00	hsa-mir-30c-2	28.00	28.00	913.75
hsa-miR-30d-3p	0.00	hsa-mir-30d	0.00	0	0
hsa-miR-30d-5p	107.00	hsa-mir-30d	107.00	107.00	3491.83
hsa-miR-30e-3p	11.00	hsa-mir-30e	11.00	11.00	358.97
hsa-miR-30e-5p	107.00	hsa-mir-30e	107.00	107.00	3491.83
hsa-miR-31-5p	0.00	hsa-mir-31	0.00	0	0
hsa-miR-31-3p	0.00	hsa-mir-31	0.00	0	0
hsa-miR-3115	0.00	hsa-mir-3115	0.00	0	0
hsa-miR-3116	1.00	hsa-mir-3116-1	1.00	1.00	32.63
hsa-miR-3116	1.00	hsa-mir-3116-2	1.00	1.00	32.63
hsa-miR-3117-5p	0.00	hsa-mir-3117	0.00	0	0
hsa-miR-3117-3p	0.00	hsa-mir-3117	0.00	0	0
hsa-miR-3118	0.00	hsa-mir-3118-1	0.00	0	0
hsa-miR-3118	0.00	hsa-mir-3118-2	0.00	0	0
hsa-miR-3118	0.00	hsa-mir-3118-3	0.00	0	0
hsa-miR-3118	0.00	hsa-mir-3118-4	0.00	0	0
hsa-miR-3119	0.00	hsa-mir-3119-1	0.00	0	0
hsa-miR-3119	0.00	hsa-mir-3119-2	0.00	0	0
hsa-miR-3120-3p	0.00	hsa-mir-3120	0.00	0	0
hsa-miR-3120-5p	0.00	hsa-mir-3120	0.00	0	0
hsa-miR-3121-3p	0.00	hsa-mir-3121	0.00	0	0
hsa-miR-3121-5p	0.00	hsa-mir-3121	0.00	0	0
hsa-miR-3122	0.00	hsa-mir-3122	0.00	0	0
hsa-miR-3123	0.00	hsa-mir-3123	0.00	0	0
hsa-miR-3124-5p	0.00	hsa-mir-3124	0.00	0	0
hsa-miR-3124-3p	0.00	hsa-mir-3124	0.00	0	0
hsa-miR-3125	0.00	hsa-mir-3125	0.00	0	0
hsa-miR-3126-5p	0.00	hsa-mir-3126	0.00	0	0
hsa-miR-3126-3p	0.00	hsa-mir-3126	0.00	0	0
hsa-miR-3127-5p	0.00	hsa-mir-3127	0.00	0	0
hsa-miR-3127-3p	0.00	hsa-mir-3127	0.00	0	0
hsa-miR-3128	0.00	hsa-mir-3128	0.00	0	0
hsa-miR-3129-5p	0.00	hsa-mir-3129	0.00	0	0
hsa-miR-3129-3p	0.00	hsa-mir-3129	0.00	0	0
hsa-miR-3130-3p	0.00	hsa-mir-3130-1	0.00	0	0
hsa-miR-3130-3p	0.00	hsa-mir-3130-2	0.00	0	0
hsa-miR-3131	0.00	hsa-mir-3131	0.00	0	0
hsa-miR-3132	0.00	hsa-mir-3132	0.00	0	0
hsa-miR-3133	0.00	hsa-mir-3133	0.00	0	0
hsa-miR-3134	0.00	hsa-mir-3134	0.00	0	0
hsa-miR-3135a	0.00	hsa-mir-3135a	0.00	0	0
hsa-miR-3135b	0.00	hsa-mir-3135b	0.00	0	0
hsa-miR-3136-5p	0.00	hsa-mir-3136	0.00	0	0
hsa-miR-3136-3p	0.00	hsa-mir-3136	0.00	0	0
hsa-miR-3137	0.00	hsa-mir-3137	0.00	0	0
hsa-miR-3138	0.00	hsa-mir-3138	0.00	0	0
hsa-miR-3139	0.00	hsa-mir-3139	0.00	0	0
hsa-miR-3140-5p	0.00	hsa-mir-3140	0.00	0	0
hsa-miR-3140-3p	0.00	hsa-mir-3140	0.00	0	0
hsa-miR-3141	0.00	hsa-mir-3141	0.00	0	0
hsa-miR-3142	0.00	hsa-mir-3142	0.00	0	0
hsa-miR-3142	0.00	hsa-mir-3142	0.00	0	0
hsa-miR-3143	0.00	hsa-mir-3143	0.00	0	0
hsa-miR-3144-5p	0.00	hsa-mir-3144	0.00	0	0
hsa-miR-3144-3p	0.00	hsa-mir-3144	0.00	0	0
hsa-miR-3145-5p	0.00	hsa-mir-3145	0.00	0	0
hsa-miR-3145-3p	0.00	hsa-mir-3145	0.00	0	0
hsa-miR-3146	0.00	hsa-mir-3146	0.00	0	0
hsa-miR-3147	0.00	hsa-mir-3147	0.00	0	0
hsa-miR-3148	0.00	hsa-mir-3148	0.00	0	0
hsa-miR-3149	0.00	hsa-mir-3149	0.00	0	0
hsa-miR-3150a-5p	0.00	hsa-mir-3150a	0.00	0	0
hsa-miR-3150a-3p	0.00	hsa-mir-3150a	0.00	0	0
hsa-miR-3150b-3p	0.00	hsa-mir-3150b	0.00	0	0
hsa-miR-3150b-5p	0.00	hsa-mir-3150b	0.00	0	0
hsa-miR-3151-3p	0.00	hsa-mir-3151	0.00	0	0
hsa-miR-3151-5p	0.00	hsa-mir-3151	0.00	0	0
hsa-miR-3152-5p	0.00	hsa-mir-3152	0.00	0	0
hsa-miR-3152-3p	0.00	hsa-mir-3152	0.00	0	0
hsa-miR-3153	0.00	hsa-mir-3153	0.00	0	0
hsa-miR-3154	0.00	hsa-mir-3154	0.00	0	0
hsa-miR-3155a	0.00	hsa-mir-3155a	0.00	0	0
hsa-miR-3155b	0.00	hsa-mir-3155b	0.00	0	0
hsa-miR-3156-5p	0.00	hsa-mir-3156-1	0.00	0	0
hsa-miR-3156-3p	0.00	hsa-mir-3156-1	0.00	0	0
hsa-miR-3156-5p	0.00	hsa-mir-3156-2	0.00	0	0
hsa-miR-3156-3p	0.00	hsa-mir-3156-2	0.00	0	0
hsa-miR-3156-5p	0.00	hsa-mir-3156-3	0.00	0	0
hsa-miR-3157-3p	0.00	hsa-mir-3157	0.00	0	0
hsa-miR-3157-5p	0.00	hsa-mir-3157	0.00	0	0
hsa-miR-3158-3p	0.00	hsa-mir-3158-1	0.00	0	0
hsa-miR-3158-5p	0.00	hsa-mir-3158-1	0.00	0	0
hsa-miR-3158-3p	0.00	hsa-mir-3158-2	0.00	0	0
hsa-miR-3158-5p	0.00	hsa-mir-3158-2	0.00	0	0
hsa-miR-3159	0.00	hsa-mir-3159	0.00	0	0
hsa-miR-3160-3p	0.00	hsa-mir-3160-1	0.00	0	0
hsa-miR-3160-5p	0.00	hsa-mir-3160-1	0.00	0	0
hsa-miR-3160-3p	0.00	hsa-mir-3160-2	0.00	0	0
hsa-miR-3160-5p	0.00	hsa-mir-3160-2	0.00	0	0
hsa-miR-3161	0.00	hsa-mir-3161	0.00	0	0
hsa-miR-3162-3p	0.00	hsa-mir-3162	0.00	0	0
hsa-miR-3162-5p	0.00	hsa-mir-3162	0.00	0	0
hsa-miR-3163	0.00	hsa-mir-3163	0.00	0	0
hsa-miR-3164	0.00	hsa-mir-3164	0.00	0	0
hsa-miR-3165	0.00	hsa-mir-3165	0.00	0	0
hsa-miR-3166	0.00	hsa-mir-3166	0.00	0	0
hsa-miR-3167	0.00	hsa-mir-3167	0.00	0	0
hsa-miR-3168	0.00	hsa-mir-3168	0.00	0	0
hsa-miR-3169	0.00	hsa-mir-3169	0.00	0	0
hsa-miR-3170	0.00	hsa-mir-3170	0.00	0	0
hsa-miR-3171	0.00	hsa-mir-3171	0.00	0	0
hsa-miR-3173-5p	0.00	hsa-mir-3173	0.00	0	0
hsa-miR-3173-3p	0.00	hsa-mir-3173	0.00	0	0
hsa-miR-3174	0.00	hsa-mir-3174	0.00	0	0
hsa-miR-3175	0.00	hsa-mir-3175	0.00	0	0
hsa-miR-3176	0.00	hsa-mir-3176	0.00	0	0
hsa-miR-3177-3p	0.00	hsa-mir-3177	0.00	0	0
hsa-miR-3177-5p	0.00	hsa-mir-3177	0.00	0	0
hsa-miR-3178	0.00	hsa-mir-3178	0.00	0	0
hsa-miR-3179	0.00	hsa-mir-3179-1	0.00	0	0
hsa-miR-3179	0.00	hsa-mir-3179-2	0.00	0	0
hsa-miR-3179	0.00	hsa-mir-3179-3	0.00	0	0
hsa-miR-3179	0.00	hsa-mir-3179-4	0.00	0	0
hsa-miR-3180-3p	0.00	hsa-mir-3180-1	0.00	0	0
hsa-miR-3180	0.00	hsa-mir-3180-1	0.00	0	0
hsa-miR-3180-5p	0.00	hsa-mir-3180-1	0.00	0	0
hsa-miR-3180-3p	0.00	hsa-mir-3180-2	0.00	0	0
hsa-miR-3180	0.00	hsa-mir-3180-2	0.00	0	0
hsa-miR-3180-5p	0.00	hsa-mir-3180-2	0.00	0	0
hsa-miR-3180-3p	0.00	hsa-mir-3180-3	0.00	0	0
hsa-miR-3180	0.00	hsa-mir-3180-3	0.00	0	0
hsa-miR-3180-5p	0.00	hsa-mir-3180-3	0.00	0	0
hsa-miR-3180-3p	0.00	hsa-mir-3180-4	0.00	0	0
hsa-miR-3180	0.00	hsa-mir-3180-4	0.00	0	0
hsa-miR-3180-3p	0.00	hsa-mir-3180-5	0.00	0	0
hsa-miR-3180	0.00	hsa-mir-3180-5	0.00	0	0
hsa-miR-3181	0.00	hsa-mir-3181	0.00	0	0
hsa-miR-3182	0.00	hsa-mir-3182	0.00	0	0
hsa-miR-3183	0.00	hsa-mir-3183	0.00	0	0
hsa-miR-3184-3p	0.00	hsa-mir-3184	0.00	0	0
hsa-miR-3184-5p	0.00	hsa-mir-3184	0.00	0	0
hsa-miR-3185	0.00	hsa-mir-3185	0.00	0	0
hsa-miR-3186-5p	0.00	hsa-mir-3186	0.00	0	0
hsa-miR-3186-3p	0.00	hsa-mir-3186	0.00	0	0
hsa-miR-3187-5p	0.00	hsa-mir-3187	0.00	0	0
hsa-miR-3187-3p	0.00	hsa-mir-3187	0.00	0	0
hsa-miR-3188	0.00	hsa-mir-3188	0.00	0	0
hsa-miR-3189-3p	0.00	hsa-mir-3189	0.00	0	0
hsa-miR-3189-5p	0.00	hsa-mir-3189	0.00	0	0
hsa-miR-3190-5p	0.00	hsa-mir-3190	0.00	0	0
hsa-miR-3190-3p	0.00	hsa-mir-3190	0.00	0	0
hsa-miR-3191-3p	0.00	hsa-mir-3191	0.00	0	0
hsa-miR-3191-5p	0.00	hsa-mir-3191	0.00	0	0
hsa-miR-3192-3p	0.00	hsa-mir-3192	0.00	0	0
hsa-miR-3192-5p	0.00	hsa-mir-3192	0.00	0	0
hsa-miR-3193	0.00	hsa-mir-3193	0.00	0	0
hsa-miR-3194-3p	0.00	hsa-mir-3194	0.00	0	0
hsa-miR-3194-5p	0.00	hsa-mir-3194	0.00	0	0
hsa-miR-3195	0.00	hsa-mir-3195	0.00	0	0
hsa-miR-3196	0.00	hsa-mir-3196	0.00	0	0
hsa-miR-3197	0.00	hsa-mir-3197	0.00	0	0
hsa-miR-3198	0.00	hsa-mir-3198-1	0.00	0	0
hsa-miR-3198	0.00	hsa-mir-3198-2	0.00	0	0
